Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,train_100-1636670917.1844277,1,0,34829,34829,34829,34829,34829,34829,34829,34829,34829,34829,34829,34829,34829,34829,34829
Transaction,aes_100-1636670951.28203,1,0,947,947,947,947,947,947,947,947,947,947,947,947,947,947,947
Transaction,cnn_75-1636670921.192688,1,0,31078,31078,31078,31078,31078,31078,31078,31078,31078,31078,31078,31078,31078,31078,31078
Transaction,cnn_100-1636670949.1061776,1,0,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198
Transaction,hello_100-1636670950.7239985,1,0,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674
Transaction,cham_150-1636670951.672934,1,0,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891
Transaction,train_40-1636670929.6652715,1,0,22989,22989,22989,22989,22989,22989,22989,22989,22989,22989,22989,22989,22989,22989,22989
Transaction,cham_150-1636670923.198616,1,0,29615,29615,29615,29615,29615,29615,29615,29615,29615,29615,29615,29615,29615,29615,29615
Transaction,video_150-1636670916.1807308,1,0,36634,36634,36634,36634,36634,36634,36634,36634,36634,36634,36634,36634,36634,36634,36634
Transaction,train_75-1636670919.1858842,1,0,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735
Transaction,float_100-1636670952.116704,1,0,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044
Transaction,float_75-1636670953.2440662,1,0,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
Transaction,lin_pack_75-1636670922.1916053,1,0,31282,31282,31282,31282,31282,31282,31282,31282,31282,31282,31282,31282,31282,31282,31282
Transaction,dd_150-1636670919.718894,1,0,33766,33766,33766,33766,33766,33766,33766,33766,33766,33766,33766,33766,33766,33766,33766
Transaction,lin_pack_75-1636670923.3265483,1,0,30447,30447,30447,30447,30447,30447,30447,30447,30447,30447,30447,30447,30447,30447,30447
Transaction,aes_150-1636670953.2628736,1,0,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686
Transaction,video_100-1636670947.688114,1,0,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967
Transaction,dd_150-1636670952.689637,1,0,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108
Transaction,hello_150-1636670953.224026,1,0,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
Transaction,gzip_40-1636670953.7006326,1,0,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816
Transaction,lin_pack_75-1636670924.2002294,1,0,31731,31731,31731,31731,31731,31731,31731,31731,31731,31731,31731,31731,31731,31731,31731
Transaction,gzip_75-1636670954.8397143,1,0,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
Transaction,cham_100-1636670955.2577713,1,0,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833
Transaction,cham_150-1636670954.715536,1,0,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379
Transaction,hello_150-1636670953.8164866,1,0,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323
Transaction,lin_pack_150-1636670956.2249026,1,0,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
Transaction,image_75-1636670944.4681818,1,0,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124
Transaction,train_100-1636670942.8623197,1,0,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833
Transaction,lin_pack_100-1636670956.7103257,1,0,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
Transaction,json_75-1636670947.2136698,1,0,10146,10146,10146,10146,10146,10146,10146,10146,10146,10146,10146,10146,10146,10146,10146
Transaction,hello_150-1636670955.4976535,1,0,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339
Transaction,cham_150-1636670956.688366,1,0,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322
Transaction,dd_150-1636670953.5378733,1,0,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545
Transaction,aes_100-1636670956.4192166,1,0,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724
Transaction,dd_150-1636670920.818863,1,0,37420,37420,37420,37420,37420,37420,37420,37420,37420,37420,37420,37420,37420,37420,37420
Transaction,train_150-1636670947.3736072,1,0,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078
Transaction,cnn_150-1636670953.8574026,1,0,4652,4652,4652,4652,4652,4652,4652,4652,4652,4652,4652,4652,4652,4652,4652
Transaction,float_100-1636670957.3964844,1,0,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
Transaction,lin_pack_100-1636670959.0479486,1,0,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
Transaction,gzip_100-1636670958.7953424,1,0,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564
Transaction,json_100-1636670959.1969714,1,0,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242
Transaction,cnn_75-1636670955.6423938,1,0,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828
Transaction,gzip_75-1636670958.889707,1,0,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596
Transaction,hello_100-1636670925.2030835,1,0,34349,34349,34349,34349,34349,34349,34349,34349,34349,34349,34349,34349,34349,34349,34349
Transaction,cnn_100-1636670956.6060314,1,0,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001
Transaction,video_40-1636670919.1889162,1,0,40842,40842,40842,40842,40842,40842,40842,40842,40842,40842,40842,40842,40842,40842,40842
Transaction,json_150-1636670958.3300552,1,0,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
Transaction,gzip_150-1636670958.5486333,1,0,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
Transaction,float_40-1636670959.3996363,1,0,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
Transaction,lin_pack_100-1636670959.7166288,1,0,962,962,962,962,962,962,962,962,962,962,962,962,962,962,962
Transaction,hello_40-1636670960.3463125,1,0,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
Transaction,hello_150-1636670920.188777,1,0,40517,40517,40517,40517,40517,40517,40517,40517,40517,40517,40517,40517,40517,40517,40517
Transaction,train_75-1636670919.973057,1,0,40734,40734,40734,40734,40734,40734,40734,40734,40734,40734,40734,40734,40734,40734,40734
Transaction,hello_40-1636670960.8354218,1,0,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
Transaction,cnn_150-1636670925.202351,1,0,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860
Transaction,float_150-1636670961.138737,1,0,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
Transaction,float_40-1636670961.212079,1,0,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
Transaction,gzip_75-1636670961.5136821,1,0,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567
Transaction,video_100-1636670952.768959,1,0,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331
Transaction,train_100-1636670921.1877654,1,0,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946
Transaction,gzip_150-1636670960.6736386,1,0,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488
Transaction,cham_150-1636670960.5334141,1,0,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
Transaction,dd_75-1636670961.6026511,1,0,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682
Transaction,lin_pack_150-1636670962.138389,1,0,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Transaction,aes_150-1636670961.6537385,1,0,764,764,764,764,764,764,764,764,764,764,764,764,764,764,764
Transaction,video_40-1636670919.1901712,1,0,43284,43284,43284,43284,43284,43284,43284,43284,43284,43284,43284,43284,43284,43284,43284
Transaction,gzip_100-1636670961.926979,1,0,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588
Transaction,float_40-1636670962.7073162,1,0,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
Transaction,hello_100-1636670962.579033,1,0,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462
Transaction,json_75-1636670953.4946015,1,0,9567,9567,9567,9567,9567,9567,9567,9567,9567,9567,9567,9567,9567,9567,9567
Transaction,image_150-1636670920.1854644,1,0,42998,42998,42998,42998,42998,42998,42998,42998,42998,42998,42998,42998,42998,42998,42998
Transaction,json_100-1636670963.0180306,1,0,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
Transaction,dd_150-1636670961.716783,1,0,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033
Transaction,float_150-1636670963.511693,1,0,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241
Transaction,gzip_40-1636670962.9196818,1,0,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876
Transaction,cnn_75-1636670960.4924717,1,0,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329
Transaction,video_75-1636670957.505777,1,0,6318,6318,6318,6318,6318,6318,6318,6318,6318,6318,6318,6318,6318,6318,6318
Transaction,json_75-1636670956.8404424,1,0,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258
Transaction,lin_pack_150-1636670963.9403195,1,0,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
Transaction,dd_75-1636670963.8999026,1,0,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492
Transaction,gzip_100-1636670963.9234679,1,0,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
Transaction,hello_100-1636670927.207894,1,0,37605,37605,37605,37605,37605,37605,37605,37605,37605,37605,37605,37605,37605,37605,37605
Transaction,hello_150-1636670962.6581836,1,0,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217
Transaction,cnn_40-1636670960.4463217,1,0,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657
Transaction,hello_100-1636670926.6107714,1,0,38558,38558,38558,38558,38558,38558,38558,38558,38558,38558,38558,38558,38558,38558,38558
Transaction,cham_150-1636670963.3378975,1,0,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871
Transaction,float_100-1636670964.7004876,1,0,902,902,902,902,902,902,902,902,902,902,902,902,902,902,902
Transaction,cnn_100-1636670958.3776593,1,0,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299
Transaction,hello_40-1636670964.5008495,1,0,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178
Transaction,lin_pack_40-1636670964.6925855,1,0,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051
